ts_l_ns,ts_r_ns,delta_ms
7899558403000,7899577226000,18.823
7899594103000,7899612925000,18.822
7899629802000,7899648625000,18.823
7899665502000,7899684324000,18.822
7899701202000,7899720024000,18.822
7899736902000,7899755724000,18.822
7899772602000,7899791423000,18.821
7899808302000,7899827123000,18.821
7899844001000,7899862822000,18.821
7899879701000,7899898522000,18.821
7899915401000,7899934222000,18.821
7899951101000,7899969921000,18.82
7899986800000,7900005621000,18.821
7900022500000,7900041320000,18.82
7900058200000,7900077020000,18.82
7900093899000,7900112719000,18.82
7900129599000,7900148420000,18.821
7900165299000,7900184119000,18.82
7900200999000,7900219818000,18.819
7900236699000,7900255518000,18.819
7900272398000,7900291218000,18.82
7900308099000,7900326917000,18.818
7900343798000,7900362617000,18.819
7900379498000,7900398316000,18.818
7900415198000,7900434016000,18.818
7900450897000,7900469716000,18.819
7900486597000,7900505415000,18.818
7900522297000,7900541115000,18.818
7900557997000,7900576814000,18.817
7900593697000,7900612514000,18.817
7900629396000,7900648213000,18.817
7900665096000,7900683913000,18.817
7900700796000,7900719613000,18.817
7900736496000,7900755312000,18.816
7900772196000,7900791013000,18.817
7900807895000,7900826711000,18.816
7900843595000,7900862411000,18.816
7900879295000,7900898111000,18.816
7900914995000,7900933810000,18.815
7900950695000,7900969510000,18.815
7900986394000,7901005209000,18.815
7901022094000,7901040909000,18.815
7901057794000,7901076608000,18.814
7901093494000,7901112308000,18.814
7901129193000,7901148008000,18.815
7901164893000,7901183707000,18.814
7901200593000,7901219407000,18.814
7901236293000,7901255107000,18.814
7901271992000,7901290806000,18.814
7901307692000,7901326506000,18.814
7901343392000,7901362205000,18.813
7901379092000,7901397905000,18.813
7901414792000,7901433604000,18.812
7901450491000,7901469304000,18.813
7901486191000,7901505004000,18.813
7901521891000,7901540703000,18.812
7901557591000,7901576403000,18.812
7901593290000,7901612102000,18.812
7901628990000,7901647802000,18.812
7901664690000,7901683502000,18.812
7901700390000,7901719201000,18.811
7901736090000,7901754901000,18.811
7901771789000,7901790600000,18.811
7901807489000,7901826300000,18.811
7901843189000,7901862000000,18.811
7901878889000,7901897699000,18.81
7901914588000,7901933399000,18.811
7901950288000,7901969098000,18.81
7901985988000,7902004798000,18.81
7902021688000,7902040497000,18.809
7902057388000,7902076198000,18.81
7902093087000,7902111897000,18.81
7902128787000,7902147596000,18.809
7902164487000,7902183296000,18.809
7902200187000,7902218995000,18.808
7902235886000,7902254695000,18.809
7902271586000,7902290395000,18.809
7902307286000,7902326094000,18.808
