frame,cap,rect,detect,depth,det,mode,track,n_tracks,n_dets,total,fps
2236,13,5,16,0,N,none,0,0,0,34,29.1
2237,14,5,17,0,N,none,0,0,0,36,27.7
2238,13,5,16,0,N,none,0,0,0,34,29.1
2239,15,5,16,0,N,none,0,0,0,36,28.1
2240,14,5,16,0,N,none,0,0,0,35,28.4
2241,14,5,17,0,N,none,0,0,0,36,28.0
2242,13,6,17,0,N,none,0,0,0,36,27.8
2243,13,6,16,0,N,none,0,0,0,35,28.5
2244,12,6,16,0,N,none,0,0,0,35,28.8
2245,13,6,17,0,N,none,0,0,0,36,28.1
2246,13,6,16,0,N,none,0,0,0,35,28.6
2247,13,5,16,0,N,none,0,0,0,33,30.1
2248,15,5,16,0,N,none,0,0,0,35,28.3
2249,15,5,16,0,N,none,0,0,0,36,27.6
2250,14,5,16,0,N,none,0,0,0,35,28.6
2251,14,5,16,0,N,none,0,0,0,36,27.9
2252,14,5,16,0,N,none,0,0,0,35,28.6
2253,14,5,16,0,N,none,0,0,0,35,28.6
2254,14,6,17,0,N,none,0,0,0,37,27.0
2255,12,5,16,0,N,none,0,0,0,34,29.3
2256,14,7,16,0,N,none,0,0,0,37,26.9
2257,12,5,17,0,N,none,0,0,0,34,29.0
2258,12,4,17,0,N,none,0,0,0,34,29.7
2259,14,4,16,0,N,none,0,0,0,35,28.8
2260,15,5,16,0,N,none,0,0,0,35,28.7
2261,15,5,16,0,N,none,0,0,0,36,27.6
2262,14,5,16,0,N,none,0,0,0,35,28.5
2263,15,5,16,0,N,none,0,0,0,36,28.0
2264,14,5,16,0,N,none,0,0,0,35,28.8
2265,16,5,16,0,N,none,0,0,0,36,27.5
2266,14,5,16,0,N,none,0,0,0,35,28.8
2267,15,5,17,0,N,none,0,0,0,37,27.2
2268,13,5,17,0,N,none,0,0,0,34,29.1
2269,14,5,16,0,N,none,0,0,0,35,28.3
2270,14,5,17,0,N,none,0,0,0,36,27.8
2271,13,5,16,0,N,none,0,0,0,34,29.6
2272,15,5,16,0,N,none,0,0,0,37,27.3
2273,13,5,16,0,N,none,0,0,0,34,29.2
2274,14,5,17,0,N,none,0,0,0,35,28.5
2275,14,5,16,0,N,none,0,0,0,35,28.4
2276,15,5,16,0,N,none,0,0,0,36,28.0
2277,13,5,16,0,N,none,0,0,0,34,29.3
2278,14,5,16,0,N,none,0,0,0,35,28.4
2279,15,5,16,0,N,none,0,0,0,36,28.0
2280,14,5,16,0,N,none,0,0,0,35,28.3
2281,14,5,16,0,N,none,0,0,0,35,28.3
2282,15,5,16,0,N,none,0,0,0,36,28.0
2283,14,5,16,0,N,none,0,0,0,35,28.6
2284,14,5,16,0,N,none,0,0,0,35,28.4
2285,15,5,17,0,N,none,0,0,0,37,27.1
2286,13,5,16,0,N,none,0,0,0,34,29.8
2287,15,5,16,0,N,none,0,0,0,36,28.1
2288,13,5,16,0,N,none,0,0,0,34,29.8
2289,14,5,16,0,N,none,0,0,0,35,28.5
2290,14,5,16,0,N,none,0,0,0,35,28.2
2291,14,5,16,0,N,none,0,0,0,35,28.3
2292,15,5,17,0,N,none,0,0,0,37,27.3
2293,13,5,16,0,N,none,0,0,0,34,29.8
2294,14,5,16,0,N,none,0,0,0,35,28.5
2295,15,5,16,0,N,none,0,0,0,36,28.0
2296,14,5,16,0,N,none,0,0,0,35,28.3
2297,14,5,16,0,N,none,0,0,0,35,28.6
2298,14,5,16,0,N,none,0,0,0,36,28.0
2299,14,5,17,0,N,none,0,0,0,35,28.2
2300,14,5,16,0,N,none,0,0,0,35,28.9
2301,15,5,16,0,N,none,0,0,0,36,28.0
2302,14,5,17,0,N,none,0,0,0,36,28.0
2303,13,5,16,0,N,none,0,0,0,34,29.2
2304,14,5,16,0,N,none,0,0,0,35,28.3
2305,14,5,17,0,N,none,0,0,0,36,27.6
2306,13,5,16,0,N,none,0,0,0,34,29.0
2307,14,5,16,0,N,none,0,0,0,35,28.7
2308,15,5,17,0,N,none,0,0,0,36,27.6
2309,13,6,17,0,N,none,0,0,0,36,27.6
2310,12,6,17,0,N,none,0,0,0,36,28.1
2311,12,7,17,0,N,none,0,0,0,36,28.0
2312,11,5,16,0,N,none,0,0,0,32,31.1
2313,14,5,16,0,N,none,0,0,0,35,28.4
2314,14,5,16,0,N,none,0,0,0,35,28.4
2315,14,5,16,0,N,none,0,0,0,35,28.6
2316,15,5,17,0,N,none,0,0,0,36,27.6
2317,13,5,16,0,N,none,0,0,0,35,28.8
2318,14,5,16,0,N,none,0,0,0,35,28.6
2319,15,7,16,0,N,none,0,0,0,38,26.7
2320,12,5,16,0,N,none,0,0,0,33,30.4
2321,14,5,16,0,N,none,0,0,0,35,28.5
2322,15,5,16,0,N,none,0,0,0,35,28.3
2323,14,5,16,0,N,none,0,0,0,35,28.8
2324,15,6,16,0,N,none,0,0,0,37,27.2
