timestamp,total_w,0V8_AON,0V8_SW,1V1_SYS,1V8_SYS,3V3_ADC,3V3_DAC,3V3_SYS,3V7_WL_SW,DDR_VDD2,DDR_VDDQ,HDMI,VDD_CORE
2026-06-21T14:47:11.983,2.140,0.0031,0.2629,0.2158,0.3577,0.0014,0.0008,0.4100,0.1671,0.0130,0.0000,0.1027,0.6050
2026-06-21T14:47:12.507,2.156,0.0037,0.2624,0.2303,0.3639,0.0014,0.0008,0.4073,0.1599,0.0140,0.0000,0.1001,0.6119
2026-06-21T14:47:13.031,2.158,0.0035,0.2637,0.2032,0.3616,0.0014,0.0002,0.4094,0.1744,0.0087,0.0000,0.1007,0.6310
2026-06-21T14:47:13.555,2.136,0.0033,0.2624,0.2157,0.3560,0.0012,0.0000,0.4073,0.1630,0.0098,0.0000,0.1002,0.6176
2026-06-21T14:47:14.079,2.162,0.0029,0.2627,0.2145,0.3612,0.0012,0.0004,0.4049,0.1710,0.0151,0.0000,0.1033,0.6245
2026-06-21T14:47:14.603,2.128,0.0035,0.2629,0.2028,0.3569,0.0010,0.0000,0.4069,0.1635,0.0108,0.0000,0.1083,0.6116
2026-06-21T14:47:15.127,2.170,0.0029,0.2662,0.2171,0.3637,0.0014,0.0008,0.4030,0.1744,0.0152,0.0000,0.1071,0.6181
2026-06-21T14:47:15.651,2.153,0.0035,0.2652,0.2181,0.3651,0.0014,0.0000,0.3964,0.1666,0.0174,0.0000,0.1014,0.6178
2026-06-21T14:47:16.175,2.157,0.0029,0.2662,0.2041,0.3609,0.0014,0.0002,0.4202,0.1708,0.0097,0.0000,0.1089,0.6119
2026-06-21T14:47:16.699,2.150,0.0031,0.2641,0.2153,0.3604,0.0014,0.0000,0.4062,0.1671,0.0119,0.0000,0.1083,0.6116
2026-06-21T14:47:17.223,2.149,0.0031,0.2661,0.2150,0.3662,0.0012,0.0000,0.4040,0.1710,0.0087,0.0000,0.1027,0.6114
2026-06-21T14:47:17.747,2.150,0.0027,0.2593,0.2032,0.3639,0.0014,0.0000,0.4040,0.1856,0.0130,0.0000,0.1051,0.6116
2026-06-21T14:47:18.271,2.185,0.0030,0.2615,0.2005,0.3638,0.0014,0.0008,0.4010,0.1674,0.0119,0.0000,0.1102,0.6631
2026-06-21T14:47:18.795,2.156,0.0031,0.2615,0.2145,0.3586,0.0012,0.0002,0.4164,0.1674,0.0151,0.0000,0.1001,0.6176
2026-06-21T14:47:19.319,2.151,0.0030,0.2661,0.2038,0.3664,0.0014,0.0016,0.4092,0.1673,0.0120,0.0000,0.1020,0.6185
2026-06-21T14:47:19.843,2.138,0.0028,0.2638,0.2051,0.3630,0.0014,0.0000,0.3997,0.1702,0.0130,0.0000,0.1071,0.6116
2026-06-21T14:47:20.367,2.117,0.0031,0.2632,0.2034,0.3609,0.0014,0.0000,0.4126,0.1635,0.0087,0.0000,0.1014,0.5988
2026-06-21T14:47:20.891,2.141,0.0031,0.2656,0.2043,0.3611,0.0012,0.0008,0.4222,0.1635,0.0141,0.0000,0.1001,0.6052
2026-06-21T14:47:21.415,2.131,0.0032,0.2622,0.2027,0.3645,0.0014,0.0000,0.4005,0.1747,0.0120,0.0000,0.1052,0.6050
2026-06-21T14:47:21.939,2.121,0.0029,0.2637,0.2030,0.3629,0.0012,0.0002,0.4059,0.1599,0.0087,0.0000,0.1001,0.6121
2026-06-21T14:47:22.463,2.127,0.0032,0.2611,0.2038,0.3640,0.0014,0.0000,0.3964,0.1635,0.0130,0.0000,0.1096,0.6114
2026-06-21T14:47:22.991,2.145,0.0028,0.2643,0.2040,0.3660,0.0012,0.0000,0.4196,0.1673,0.0130,0.0000,0.1020,0.6050
2026-06-21T14:47:23.515,2.154,0.0035,0.2655,0.2167,0.3621,0.0012,0.0000,0.4101,0.1671,0.0129,0.0000,0.1033,0.6116
2026-06-21T14:47:24.039,2.159,0.0030,0.2655,0.2162,0.3662,0.0006,0.0008,0.4099,0.1635,0.0120,0.0000,0.1033,0.6181
2026-06-21T14:47:24.563,2.133,0.0029,0.2631,0.2030,0.3599,0.0014,0.0000,0.4101,0.1671,0.0108,0.0000,0.1090,0.6052
2026-06-21T14:47:25.091,2.151,0.0029,0.2616,0.2026,0.3645,0.0012,0.0008,0.4099,0.1747,0.0130,0.0000,0.1084,0.6114
2026-06-21T14:47:25.615,2.122,0.0031,0.2631,0.2029,0.3577,0.0012,0.0008,0.4124,0.1630,0.0162,0.0000,0.1026,0.5988
2026-06-21T14:47:26.139,2.137,0.0032,0.2631,0.2037,0.3651,0.0012,0.0016,0.3972,0.1671,0.0152,0.0000,0.1014,0.6183
2026-06-21T14:47:26.663,2.144,0.0035,0.2638,0.2049,0.3656,0.0012,0.0002,0.4105,0.1744,0.0065,0.0000,0.1013,0.6116
2026-06-21T14:47:27.191,2.117,0.0031,0.2629,0.2038,0.3587,0.0012,0.0008,0.4063,0.1593,0.0109,0.0000,0.1108,0.5988
2026-06-21T14:47:27.715,2.158,0.0027,0.2634,0.2047,0.3623,0.0006,0.0008,0.4096,0.1710,0.0141,0.0000,0.1045,0.6245
2026-06-21T14:47:28.243,2.190,0.0030,0.2639,0.2023,0.3603,0.0016,0.0000,0.4503,0.1671,0.0119,0.0000,0.1052,0.6245
